"Order ID","Product ID","Location ID","Sales Person ID","Customer ID","Purchase Date","Quantity","Price"
"AX10001","ENX2071","A152","EMP1009","C1499","11/23/2018","1","136"
"AX10002","ENX2053","A139","EMP1007","C1359","11/13/2018","1","596"
"AX10005","ENX2030","A121","EMP1003","C1220","5/21/2018","1","1899"
"AX10007","ENX2001","A122","EMP1003","C1368","12/19/2018","4","951"
"AX10009","ENX2082","A101","EMP1029","C1764","7/3/2018","1","1103"
"AX10011","ENX2004","A156","EMP1007","C1348","12/26/2018","3","1278"
"AX10017","ENX2088","A163","EMP1032","C1619","6/13/2018","1","603"
"AX10022","ENX2077","A171","EMP1005","C1723","10/12/2018","2","530"
"AX10023","ENX2005","A164","EMP1021","C1713","4/23/2018","4","684"
"AX10024","ENX2059","A104","EMP1036","C1673","1/29/2018","3","1494"
"AX10025","ENX2047","A170","EMP1015","C1753","11/18/2018","1","290"
"AX10034","ENX2099","A103","EMP1029","C1299","7/31/2018","1","1367"
"AX10038","ENX2098","A143","EMP1039","C1674","11/11/2018","1","1178"
"AX10040","ENX2053","A122","EMP1040","C1301","10/23/2018","4","596"
"AX10043","ENX2068","A119","EMP1024","C1641","10/8/2018","4","1500"
"AX10044","ENX2001","A120","EMP1038","C1604","12/4/2018","2","951"
"AX10045","ENX2058","A161","EMP1028","C1419","1/19/2018","2","2257"
"AX10046","ENX2010","A161","EMP1010","C1207","10/29/2018","4","1812"
"AX10050","ENX2004","A172","EMP1003","C1012","3/25/2018","1","1278"
"AX10053","ENX2030","A116","EMP1021","C1364","4/11/2018","3","1899"
"AX10054","ENX2095","A151","EMP1012","C1105","1/20/2018","1","1743"
"AX10055","ENX2098","A172","EMP1015","C1791","11/26/2018","3","1178"
"AX10060","ENX2065","A150","EMP1044","C1723","12/27/2018","1","2396"
"AX10068","ENX2058","A107","EMP1012","C1767","4/6/2018","1","2257"
"AX10079","ENX2043","A172","EMP1024","C1217","7/17/2018","1","545"
"AX10080","ENX2009","A129","EMP1029","C1550","5/6/2018","3","584"
"AX10081","ENX2056","A120","EMP1008","C1749","3/19/2018","1","1635"
"AX10083","ENX2092","A112","EMP1002","C1257","3/15/2018","3","1639"
"AX10085","ENX2002","A130","EMP1004","C1043","2/17/2018","3","847"
"AX10087","ENX2092","A152","EMP1009","C1357","8/9/2018","3","1639"
"AX10090","ENX2050","A146","EMP1001","C1463","8/2/2018","3","2391"
"AX10093","ENX2035","A113","EMP1044","C1758","11/9/2018","4","458"
"AX10094","ENX2040","A143","EMP1016","C1780","2/2/2018","4","1889"
"AX10095","ENX2027","A105","EMP1039","C1007","3/15/2018","1","2497"
"AX10101","ENX2036","A128","EMP1042","C1030","8/20/2018","1","1582"
"AX10103","ENX2015","A121","EMP1035","C1614","6/18/2018","3","637"
"AX10104","ENX2047","A168","EMP1023","C1446","4/15/2018","3","290"
"AX10105","ENX2025","A146","EMP1015","C1607","11/1/2018","2","667"
"AX10108","ENX2015","A131","EMP1029","C1660","4/23/2018","1","637"
"AX10113","ENX2010","A167","EMP1007","C1471","12/22/2018","3","1812"
"AX10117","ENX2060","A140","EMP1031","C1436","5/25/2018","3","1467"
"AX10120","ENX2021","A131","EMP1009","C1756","10/16/2018","1","217"
"AX10125","ENX2000","A137","EMP1016","C1541","10/22/2018","2","2241"
"AX10128","ENX2054","A126","EMP1029","C1347","8/10/2018","1","127"
"AX10129","ENX2083","A129","EMP1026","C1013","5/11/2018","1","2141"
"AX10131","ENX2019","A119","EMP1013","C1704","8/2/2018","1","800"
"AX10139","ENX2009","A104","EMP1027","C1221","8/30/2018","2","584"
"AX10142","ENX2046","A128","EMP1028","C1794","8/1/2018","4","2410"
